"Organisation","Branch","Acronym","Type","Region","Country","Website","Twitter","Domain"
"Seattle Human Services Department",,"SeattleHSD","Government",,,"http://www.seattle.gov/humanservices/","SeattleHSD","seattle.gov"
"Union Gospel Mission",,"UGM","NGO",,,"http://www.ugm.org","SeattlesUGM","ugm.org"
